Nombre,Nivel,Escuela,Descripción,Enlace
Abhorrent Apparition,4th-level,illusion,"You imbue a terrifying visage onto a gourd and toss it ahead of you to a spot of your choosing within range. Each creature within 15 feet of that spot takes 6d8 psychic damage and becomes frightened of you for 1 minute; a successful Wisdom saving throw halves the damage and negates the fright. A creature frightened in this way repeats the saving throw at the end of each of its turns, ending the effect on itself on a success.
","Bard, Sorcerer, Wizard"
Abrupt Hug,1st-level,transmutation,"You or the creature taking the Attack action can immediately make an unarmed strike. In addition to dealing damage with the unarmed strike, the target can grapple the creature it hit with the unarmed strike.",Ranger
Absolute Command,4th-level,transmutation,"Deep Magic: clockwork You can control a construct you have built with a challenge rating of 6 or less. You can manipulate objects with your construct as precisely as its construction allows, and you perceive its surroundings through its sensory inputs as if you inhabited its body. The construct uses the caster's Proficiency bonus (modified by the construct's Strength and Dexterity scores). You can use the manipulators of the construct to perform any number of skill-based tasks, using the construct's Strength and Dexterity modifiers when using skills based on those particular abilities. Your body remains immobile, as if paralyzed, for the duration of the spell. The construct must remain within 100 feet of you. If it moves beyond this distance, the spell immediately ends and the caster's mind returns to his or her body.",Wizard
Accelerando,4th-level,Transmutation,"You play a complex and quick up-tempo piece that gradually gets faster and more complex, instilling the targets with its speed. You cannot cast another spell through your spellcasting focus while concentrating on this spell.

Until the spell ends, targets gain cumulative benefits the longer you maintain concentration on this spell (including the turn you cast it).

* **1 Round:** Double Speed.
* **2 Rounds:** +2 bonus to AC.
* **3 Rounds:** Advantage on Dexterity saving throws.
* **4 Rounds:** An additional action each turn. This action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.

When the spell ends, a target can't move or take actions until after its next turn as the impact of their frenetic speed catches up to it.",Bard
Accelerate,3rd-level,transmutation,"Choose up to three willing creatures within range, which can include you. For the duration of the spell, each target’s walking speed is doubled. Each target can also use a bonus action on each of its turns to take the Dash action, and it has advantage on Dexterity saving throws.
","Bard, Cleric, Druid, Sorcerer, Wizard"
Acid Arrow,2nd-level,Evocation,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.","Druid, Wizard"
Acid Arrow,2nd-level,Evocation,"A jet of acid streaks towards the target like a hissing, green arrow. Make a ranged spell attack.

On a hit the target takes 4d4 acid damage and 2d4 ongoing acid damage for 1 round. On a miss the target takes half damage.","Sorcerer, Wizard"
Acid Gate,7th-level,conjuration,"You create a portal of swirling, acidic green vapor in an unoccupied space you can see. This portal connects with a target destination within 100 miles that you are personally familiar with and have seen with your own eyes, such as your wizard’s tower or an inn you have stayed at. You and up to three creatures of your choice can enter the portal and pass through it, arriving at the target destination (or within 10 feet of it, if it is currently occupied). If the target destination doesn’t exist or is inaccessible, the spell automatically fails and the gate doesn’t form.

Any creature that tries to move through the gate, other than those selected by you when the spell was cast, takes 10d6 acid damage and is teleported 1d100 × 10 feet in a random, horizontal direction. If the creature makes a successful Intelligence saving throw, it can’t be teleported by this portal, but it still takes acid damage when it enters the acid-filled portal and every time it ends its turn in contact with it.
",""
Acid Rain,5th-level,conjuration,"You unleash a storm of swirling acid in a cylinder 20 feet wide and 30 feet high, centered on a point you can see. The area is heavily obscured by the driving acidfall. A creature that starts its turn in the area or that enters the area for the first time on its turn takes 6d6 acid damage, or half as much damage if it makes a successful Dexterity saving throw. A creature takes half as much damage from the acid (as if it had made a successful saving throw) at the start of its first turn after leaving the affected area.
","Sorcerer, Warlock, Wizard"
Acid Splash,Cantrip,Conjuration,"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a dexterity saving throw or take 1d6 acid damage.","Sorcerer, Wizard"
Acid Splash,Cantrip,Conjuration,"A stinking bubble of acid is conjured out of thin air to fly at the targets, dealing 1d6 acid damage.","Artificer, Sorcerer, Wizard"
Adjust Position,1st-level,transmutation,"You adjust the location of an ally to a better tactical position. You move one willing creature within range 5 feet. This movement does not provoke opportunity attacks. The creature moves bodily through the intervening space (as opposed to teleporting), so there can be no physical obstacle (such as a wall or a door) in the path.","Bard, Cleric, Warlock, Wizard"
